model,inference_ms,fps,frame_count
MobileViT,431.3211441040039,2.3184580994222515,10
MobileViT,439.7563934326172,2.273986268156958,20
MobileViT,444.7355270385742,2.24852735885268,30
MobileViT,421.1721420288086,2.3743260776530635,40
MobileViT,424.02195930480957,2.358368424219149,50
MobileViT,441.5130615234375,2.264938655607396,60
MobileViT,454.9248218536377,2.198165393405877,70
MobileViT,413.3741855621338,2.4191157428955883,80
MobileViT,525.7790088653564,1.9019397563208613,90
MobileViT,443.88389587402344,2.2528413607593576,100
MobileViT,455.6891918182373,2.1944782056601295,110
MobileViT,448.5585689544678,2.22936327430077,120
MobileViT,457.7796459197998,2.1844571048822776,130
MobileViT,435.3759288787842,2.296865613529168,140
MobileViT,435.00471115112305,2.2988256778961516,150
MobileViT,464.4312858581543,2.153171051240114,160
MobileViT,445.24168968200684,2.245971172902078,170
MobileViT,440.9165382385254,2.268002928615537,180
MobileViT,419.07286643981934,2.3862198679083515,190
MobileViT,421.43869400024414,2.372824361494013,200
MobileViT,443.2940483093262,2.2558389940354218,210
MobileViT,455.136775970459,2.1971417226563688,220
MobileViT,456.2697410583496,2.19168599188811,230
MobileViT,424.9434471130371,2.353254313706348,240
MobileViT,449.6312141418457,2.2240448806664226,250
MobileViT,423.1743812561035,2.3630920119306653,260
MobileViT,424.61419105529785,2.3550790837081776,270
MobileViT,420.8376407623291,2.3762133020909046,280
MobileViT,430.4618835449219,2.323086057619879,290
MobileViT,434.8161220550537,2.299822727993021,300
MobileViT,425.3122806549072,2.35121355644886,310
MobileViT,434.69810485839844,2.3004471121992744,320
MobileViT,435.81604957580566,2.294546061287402,330
MobileViT,458.74595642089844,2.17985572625408,340
MobileViT,548.8793849945068,1.8218938938834586,350
MobileViT,610.7895374298096,1.637225163037305,360
MobileViT,431.89477920532227,2.315378763873877,370
MobileViT,446.3937282562256,2.2401748427478125,380
MobileViT,441.6210651397705,2.26438473826765,390
MobileViT,443.6352252960205,2.254104144531668,400
MobileViT,445.9834098815918,2.2422358721045232,410
MobileViT,437.88623809814453,2.283698168600283,420
MobileViT,433.6988925933838,2.305747183305709,430
MobileViT,448.44698905944824,2.2299179711237516,440
MobileViT,439.0146732330322,2.277828193385219,450
MobileViT,436.7220401763916,2.2897859691168803,460
MobileViT,454.03313636779785,2.2024824179130653,470
MobileViT,446.9342231750488,2.2374657122829777,480
MobileViT,439.8164749145508,2.2736756284408943,490
MobileViT,438.6172294616699,2.2798921994636063,500
MobileViT,437.591552734375,2.2852360694609106,510
MobileViT,441.4856433868408,2.2650793179332784,520
MobileViT,444.7133541107178,2.248639467999955,530
MobileViT,437.1347427368164,2.2876241630651286,540
MobileViT,446.9912052154541,2.237180482148391,550
MobileViT,430.5152893066406,2.322797876959338,560
MobileViT,444.9353218078613,2.2475176750112795,570
MobileViT,419.29054260253906,2.3849810534551854,580
MobileViT,426.8176555633545,2.3429208866257065,590
MobileViT,437.8366470336914,2.2839568290478214,600
MobileViT,435.3146553039551,2.2971889133890007,610
MobileViT,433.86030197143555,2.3048893744278036,620
MobileViT,436.02585792541504,2.2934419641026342,630
MobileViT,439.3892288208008,2.275886467867507,640
MobileViT,433.9604377746582,2.3043575242203715,650
MobileViT,469.58017349243164,2.129561801050183,660
MobileViT,430.2384853363037,2.324292303182343,670
MobileViT,437.6485347747803,2.2849385306741934,680
MobileViT,430.56416511535645,2.322534202845424,690
MobileViT,439.8684501647949,2.273406968891163,700
